[1] no song
[2] skipped_known
[3] error: Server error '500 Internal Server Error' for url 'https://taiwanbible.com/web/lyrics/view.jsp?ID=3'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500
[4] skipped_known
[5] skipped_known
[6] approved: 沒有你，那有我
[7] approved: 主愛有多少
[8] approved: 頌讚哈利路亞
[9] approved: 我心敬拜
[10] approved: 你是我神
[11] approved: 你的恩典夠用
[12] approved: 全心敬拜
[13] approved: 全地齊讚頌
[14] approved: 靜候恩主
[15] approved: 我只想去讚美你
[16] approved: 誠心敬拜
[17] approved: 一身衝勁
[18] approved: 大地音韻飄
[19] approved: 頌歌響遍
[20] approved: 誰像耶穌
[21] approved: 永約的神
[22] approved: 讚頌父權能
[23] approved: 向至高者讚美
[24] approved: 陶造我一生
[25] approved: 從今天起
[26] approved: 神！你在掌管
[27] approved: 尋問
[28] approved: 因祂活著
[29] approved: 因主看顧
[30] approved: 全然向你
[31] approved: 朝陽中
[32] approved: 誰造
[33] approved: 悔
[34] approved: 崇拜主
[35] approved: 全能父上帝
[36] approved: 真愛
[37] approved: 雲上的愛
[38] approved: 讓你大能改變我
[39] approved: 主愛難忘
[40] approved: 恩雨
[41] approved: 事奉耶穌蒙福
[42] approved: 將心給我
[43] approved: 我要歌唱耶和華的大慈愛
[44] approved: 天父必保守
[45] approved: 愛的滋味
[46] approved: 神必與共
[47] approved: 小毛蟲
[48] approved: 默默回望
[49] error: Server error '500 Internal Server Error' for url 'https://taiwanbible.com/web/lyrics/view.jsp?ID=49'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500
[50] approved: 主我高舉你的名
[51] approved: 靠著耶穌得勝
[52] approved: 他等待你
[53] approved: 因祂活著
[54] approved: 每個小孩要知道
[55] approved: 回憶
[56] approved: 生命之歌
[57] approved: 詩篇第一百二十一篇
[58] approved: 有平安在我心
[59] approved: 每當我想起你
[60] approved: 耶穌是復活主宰
[61] approved: 你曾否？
[62] approved: 祂是神
[63] approved: 踏上彩虹
[64] approved: 客西馬尼
[65] approved: 生命之旅
[66] approved: 燃亮這生光采
[67] approved: 無人像你這般愛我
[68] approved: 讚美上主
[69] approved: 誰是主角
[70] approved: 相愛終老
[71] approved: 我在這裡
[72] approved: 繁星點點
[73] approved: 無論你在何方
[74] approved: 愛的小島
[75] approved: 神愛
[76] approved: 全奪去歸你
[77] approved: 救主正等待
[78] approved: 神秘谷之聲
[79] approved: 和撒那
[80] approved: 清心的人
[81] approved: 舞台
[82] approved: 我尊崇你
[83] approved: 耶和華為我預備
[84] approved: 進到主的家
[85] approved: 憑你意行
[86] approved: 勸
[87] approved: 主永活在我心
[88] approved: 你仍是你
[89] approved: 朋友！你心中有平安，喜樂嗎？
[90] approved: 祂
[91] approved: 耶穌是真神
[92] approved: 求主幫助我能憐憫別人
[93] approved: 我降服一切於你
[94] approved: 神羔羊
[95] approved: 主前悔罪
[96] approved: 人人都應該知道
[97] approved: 願主為王
[98] approved: 陶造我生命
[99] approved: 希望
[100] approved: 應許A
[101] approved: 合一見證
[102] approved: 基督，萬有之主宰
[103] approved: 知己
[104] approved: 讓愛走動
[105] approved: 樂哉家庭
[106] approved: 有一位救主
[107] approved: 聖嬰耶穌
[108] approved: 高聲唱
[109] approved: 揚聲歡呼讚美
[110] approved: 倚靠基督似蜜甜
[111] approved: 生之盼
[112] approved: 在每天
[113] approved: 新造的人
[114] approved: 每一天
[115] approved: 我心頌讚
[116] approved: 一件禮物
[117] approved: 神是永活全能
[118] approved: 神配得稱讚
[119] approved: 耶和華以勒
[120] approved: 只得你
[121] approved: 除你以外
[122] approved: 生命因愛動聽
[123] approved: 我心裡有一新歌
[124] approved: 跟隨我
[125] approved: 活著為耶穌
[126] approved: 同心聚集
[127] approved: 我的神，我的父，我的磐石
[128] approved: 挑戰
[129] approved: 榮光普照
[130] approved: 主禱文
[131] approved: 十架血淚
[132] approved: 只求你手一摸
[133] approved: 人算甚麼？
[134] approved: 舉目仰望
[135] approved: 愛的豐富
[136] approved: 諸天宣揚
[137] approved: 當基督捨命
[138] approved: 你們要讚美耶和華
[139] approved: 榮耀尊貴歸與神
[140] approved: 耶穌是我親愛救主
[141] approved: 你是我神
[142] approved: 奇妙的愛
[143] approved: 你配得至聖尊榮
[144] approved: 那受傷的手是為我
[145] approved: 頌讚神恩
[146] approved: 足印
[147] approved: 照我本相
[148] approved: 親愛的聖靈
[149] approved: 從沒有放棄
[150] approved: 伴我成長
[151] approved: 勇負十架
[152] approved: 每一日
[153] approved: 生命全屬你
[154] approved: 放開手中一切
[155] approved: 我主與我
[156] approved: 尊主頌
[157] approved: 惟有你
[158] approved: 以色列的聖者
[159] approved: 神恩
[160] approved: 只因愛
[161] approved: 你是得勝的神
[162] approved: 願你降臨
[163] approved: 主愛大能
[164] approved: 天父必看顧你
[165] approved: 荊棘的冠冕
[166] approved: 主愛必堅固
[167] approved: 常存讚美
[168] approved: 神同在
[169] approved: 是因為愛
[170] approved: 哈利路亞！讚美主名！
[171] approved: 只一望
[172] approved: 我心尊主為大
[173] approved: 敬拜者的心
[174] approved: 誰能及你
[175] approved: 再給我機會
[176] approved: 就在這天
[177] approved: 興起為耶穌
[178] approved: 無言的讚頌
[179] approved: Hosanna
[180] approved: Emmanuel
[181] approved: 願你崇高
[182] approved: 讚美上帝
[183] approved: 感謝之禱文
[184] approved: 耶穌愛我
[185] approved: 主信實無變
[186] approved: 父親，聽我傾訴
[187] approved: 願事奉耶和華我神
[188] approved: 愛的真諦
[189] approved: 全賴你愛在心中
[190] approved: 感恩歌
[191] approved: 不為明天憂慮
[192] approved: 主是我力量
[193] approved: 聖靈於心裡
[194] approved: 每當想到十架的愛
[195] approved: 聖靈的果子
[196] approved: 認識你真好
[197] approved: 歡欣讚頌
[198] approved: 原諒
[199] approved: 耶穌愛你
[200] approved: 神曾應許
[201] approved: 全地頌唱
[202] approved: 兩個環
[203] approved: 主愛永難忘
[204] approved: 我對你的愛永不變
[205] approved: 你的愛
[206] approved: 中華歸主
[207] approved: 愛在人間
[208] approved: 施恩的主
[209] approved: 來！快來水邊
[210] approved: 神！我愛你
[211] approved: 親愛主，牽我手
[212] approved: 禱
[213] approved: 不再是我
[214] approved: 讓讚美飛揚
[215] approved: 一首讚美的詩歌
[216] approved: 祂名稱為奇妙
[217] approved: 畢生的獻呈
[218] approved: 注目看耶穌
[219] approved: 深知你的愛
[220] approved: 年輕人
[221] approved: 生趣
[222] approved: 先求神的國
[223] approved: 神啊，求你
[224] approved: 主的名多麼珍貴
[225] approved: 元首在前面
[226] approved: 神啊，頌讚歸你
[227] approved: 愛心可以做橋樑
[228] approved: 傳揚神榮耀
[229] approved: 心靈的迴響
[230] approved: 主的聖名
[231] approved: 祂名高於一切
[232] approved: 找愛
[233] approved: 天國在心裡
[234] approved: 獻給我天上的主
[235] approved: 你愛我比這些更深麼
[236] approved: 十架的冠冕
[237] approved: 最美麗名字
[238] approved: 有一位神
[239] approved: 此心誰屬
[240] approved: 我愛禱告
[241] approved: 是你最重要
[242] approved: 主領我經曠野路
[243] approved: 你是我的神
[244] approved: 無盡的旅程
[245] approved: 寂寞呼聲
[246] approved: 中國的呼喚
[247] approved: 橋
[248] approved: 同行
[249] approved: 面對世界
[250] approved: 神對我真好
[251] approved: 讓主大能彰顯
[252] approved: 單一的主
[253] approved: 永活全能的神
[254] approved: 復興的火
[255] approved: 獻上自己為祭
[256] approved: 主，懇求你
[257] approved: 求你仰起臉來
[258] approved: 願你國降臨
[259] approved: 我心要稱謝耶和華
[260] approved: 傾聽我的心
[261] approved: 常常喜樂
[262] approved: 原來日子多麼美
[263] approved: 全地至高是我主
[264] approved: 一無掛慮
[265] approved: 雲上太陽
[266] approved: 萬膝獻呈
[267] approved: 永生之主
[268] approved: 直到地老天荒
[269] approved: 耶穌是一位奇妙救主
[270] approved: 差遣我
[271] approved: 愛，再不是傳說
[272] approved: 耶和華永遠至高
[273] approved: 求主用我
[274] approved: 耶穌豈是凡人
[275] approved: 只有你─永恆的主
[276] approved: 讚美真神
[277] approved: 傳頌
[278] approved: 主必保守我
[279] approved: 耶穌是我知心友
[280] approved: 我的負擔
[281] approved: 主的愛
[282] approved: 一生不枉過
[283] approved: 我的心，你要稱頌耶和華
[284] approved: 我的救贖者活著
[285] approved: 容我寧靜
[286] approved: 我要唱耶和華的大慈愛
[287] approved: 讚美之泉
[288] approved: 唯有主耶穌的寶血
[289] approved: 光明之子
[290] approved: 萬軍之耶和華
[291] approved: 生命的舵手
[292] approved: 誰能像你
[293] approved: 我們是光明之子
[294] approved: 真理內心種
[295] approved: 至聖的主
[296] approved: 野地的花
[297] approved: 耶穌被賣
[298] approved: 真愛
[299] approved: 沒有可給你
[300] approved: 求主興起禱告的心
[301] approved: 神是愛
[302] approved: 神是愛
[303] approved: 神是愛
[304] approved: 若
[305] approved: 天地讚美
[306] approved: 主恩浩瀚
[307] approved: 像美妙詩歌
[308] approved: 我們有一故事傳給萬邦
[309] approved: 攜手同分享
[310] approved: 祂誠然擔當我的憂患
[311] approved: 是為了我罪
[312] approved: G.L.O.W.世代
[313] approved: 一件禮物
[314] approved: 若然沒有你
[315] approved: 晚禱
[316] approved: 彩虹下的約定
[317] approved: 尋找
[318] approved: 這是耶和華所訂的日子
[319] approved: 一切歌頌讚美
[320] approved: 天父的孩子
[321] approved: 賜我自由
[322] approved: 愛，我願意
[323] approved: 是耶穌
[324] approved: 激起生命的浪花
[325] approved: 與你有約
[326] approved: 馨香晚祭
[327] approved: 一世跟隨你
[328] approved: 耶穌恩友
[329] approved: 耶和華你是我的神
[330] approved: 天堂在我心
[331] approved: 全新的你
